***SESSION HEADER***
{
    "Participant": "0",
    "Timestamp": "17-19-59-02-04-2026"
}
---SESSION HEADER---
time; camera.position; camera.direction; hand.position; hand.direction; input; fps
129.195879; (152.628, 28.232, 21.279); (25.274, 249.987, 355.472); (152.389, 27.870, 21.356); (358.914, 259.839, 334.683); [R_Axis0,R_PadTouch]; 17.768839
129.247063; (152.626, 28.233, 21.275); (24.667, 249.854, 355.361); (152.386, 27.874, 21.351); (358.275, 260.573, 335.061); [R_PadTouch]; 18.095226
129.249231; (152.626, 28.233, 21.275); (24.667, 249.854, 355.361); (152.386, 27.874, 21.351); (358.275, 260.573, 335.061); [R_PadTouch]; 18.095226
129.250310; (152.626, 28.233, 21.275); (24.667, 249.854, 355.361); (152.386, 27.874, 21.351); (358.275, 260.573, 335.061); [R_PadTouch]; 18.095226
129.301301; (152.625, 28.233, 21.273); (24.410, 249.743, 355.338); (152.385, 27.873, 21.347); (359.058, 259.603, 334.662); []; 18.263475
129.303312; (152.625, 28.233, 21.273); (24.410, 249.743, 355.338); (152.385, 27.873, 21.347); (359.058, 259.603, 334.662); []; 18.263475
129.353390; (152.625, 28.232, 21.270); (24.321, 249.489, 355.499); (152.383, 27.873, 21.339); (358.503, 258.459, 333.206); []; 18.356346
129.355388; (152.625, 28.232, 21.270); (24.321, 249.489, 355.499); (152.383, 27.873, 21.339); (358.503, 258.459, 333.206); []; 18.356346
129.356408; (152.625, 28.232, 21.270); (24.321, 249.489, 355.499); (152.383, 27.873, 21.339); (358.503, 258.459, 333.206); []; 18.356346
129.405745; (152.624, 28.232, 21.269); (24.344, 249.141, 355.736); (152.382, 27.874, 21.336); (358.455, 258.494, 333.744); []; 18.467554
129.407735; (152.624, 28.232, 21.269); (24.344, 249.141, 355.736); (152.382, 27.874, 21.336); (358.455, 258.494, 333.744); []; 18.467554
129.457929; (152.624, 28.232, 21.267); (24.198, 247.798, 356.007); (152.379, 27.875, 21.329); (358.531, 257.447, 332.006); []; 18.647881
129.458930; (152.624, 28.232, 21.267); (24.198, 247.798, 356.007); (152.379, 27.875, 21.329); (358.531, 257.447, 332.006); []; 18.647881
129.510048; (148.422, 28.233, 20.667); (23.439, 245.560, 355.774); (148.175, 27.875, 20.723); (358.117, 255.636, 331.627); []; 18.774508
129.511058; (148.422, 28.233, 20.667); (23.439, 245.560, 355.774); (148.175, 27.875, 20.723); (358.117, 255.636, 331.627); []; 18.774508
129.512060; (148.422, 28.233, 20.667); (23.439, 245.560, 355.774); (148.175, 27.875, 20.723); (358.117, 255.636, 331.627); []; 18.774508
129.560693; (148.422, 28.233, 20.667); (23.093, 244.522, 355.773); (148.175, 27.877, 20.718); (357.559, 254.750, 330.475); []; 18.811947
129.561695; (148.422, 28.233, 20.667); (23.093, 244.522, 355.773); (148.175, 27.877, 20.718); (357.559, 254.750, 330.475); []; 18.811947
129.612493; (148.423, 28.234, 20.664); (22.567, 242.521, 355.966); (148.175, 27.880, 20.710); (356.826, 254.162, 330.291); [R_PadTouch]; 19.021978
129.613503; (148.423, 28.234, 20.664); (22.567, 242.521, 355.966); (148.175, 27.880, 20.710); (356.826, 254.162, 330.291); [R_PadTouch]; 19.021978
129.664185; (148.424, 28.235, 20.663); (22.199, 241.695, 356.087); (148.175, 27.882, 20.707); (356.280, 254.058, 330.936); [R_PadTouch]; 19.123299
129.666202; (148.424, 28.235, 20.663); (22.199, 241.695, 356.087); (148.175, 27.882, 20.707); (356.280, 254.058, 330.936); [R_PadTouch]; 19.123299
129.667204; (148.424, 28.235, 20.663); (22.199, 241.695, 356.087); (148.175, 27.882, 20.707); (356.280, 254.058, 330.936); [R_PadTouch]; 19.123299
129.717726; (148.424, 28.236, 20.662); (21.675, 240.112, 356.327); (148.175, 27.885, 20.701); (356.256, 252.937, 329.658); [R_PadTouch]; 19.064772
129.719233; (148.424, 28.236, 20.662); (21.675, 240.112, 356.327); (148.175, 27.885, 20.701); (356.256, 252.937, 329.658); [R_PadTouch]; 19.064772
129.771364; (148.425, 28.237, 20.662); (21.497, 239.319, 356.278); (148.175, 27.887, 20.699); (355.980, 252.552, 330.667); [R_Axis0,R_PadTouch]; 19.058607
129.772366; (148.425, 28.237, 20.662); (21.497, 239.319, 356.278); (148.175, 27.887, 20.699); (355.980, 252.552, 330.667); [R_Axis0,R_PadTouch]; 19.058607
129.822928; (148.427, 28.237, 20.661); (21.176, 238.041, 356.187); (148.176, 27.891, 20.694); (355.281, 251.101, 330.173); [R_Axis0,R_PadTouch]; 18.998287
129.823939; (148.427, 28.237, 20.661); (21.176, 238.041, 356.187); (148.176, 27.891, 20.694); (355.281, 251.101, 330.173); [R_Axis0,R_PadTouch]; 18.998287
129.825446; (148.427, 28.237, 20.661); (21.176, 238.041, 356.187); (148.176, 27.891, 20.694); (355.281, 251.101, 330.173); [R_Axis0,R_PadTouch]; 18.998287
129.874859; (148.428, 28.237, 20.661); (21.020, 237.460, 356.163); (148.176, 27.892, 20.692); (355.187, 250.745, 330.146); [R_Axis0,R_PadTouch]; 19.008322
129.875861; (148.428, 28.237, 20.661); (21.020, 237.460, 356.163); (148.176, 27.892, 20.692); (355.187, 250.745, 330.146); [R_Axis0,R_PadTouch]; 19.008322
129.925993; (148.429, 28.236, 20.661); (21.106, 236.784, 356.213); (148.176, 27.894, 20.689); (354.877, 250.105, 330.460); [R_Axis0,R_PadTouch]; 19.065075
129.928005; (148.429, 28.236, 20.661); (21.106, 236.784, 356.213); (148.176, 27.894, 20.689); (354.877, 250.105, 330.460); [R_Axis0,R_PadTouch]; 19.065075
129.977349; (148.432, 28.236, 20.662); (21.342, 236.331, 356.191); (148.176, 27.894, 20.687); (354.755, 249.722, 330.982); [R_Axis0,R_PadTouch]; 19.154673
129.978630; (148.432, 28.236, 20.662); (21.342, 236.331, 356.191); (148.176, 27.894, 20.687); (354.755, 249.722, 330.982); [R_Axis0,R_PadTouch]; 19.154673
129.979632; (148.432, 28.236, 20.662); (21.342, 236.331, 356.191); (148.176, 27.894, 20.687); (354.755, 249.722, 330.982); [R_Axis0,R_PadTouch]; 19.154673
130.031217; (148.432, 28.236, 20.662); (21.424, 236.327, 356.200); (148.177, 27.894, 20.686); (354.864, 249.180, 330.278); [R_Axis0,R_PadTouch]; 19.190798
130.031722; (148.432, 28.236, 20.662); (21.424, 236.327, 356.200); (148.177, 27.894, 20.686); (354.864, 249.180, 330.278); [R_Axis0,R_PadTouch]; 19.190798
130.080154; (148.434, 28.238, 20.663); (21.068, 236.282, 356.225); (148.177, 27.894, 20.685); (354.874, 248.439, 329.672); [R_Axis0,R_PadTouch]; 19.156647
130.082330; (148.434, 28.238, 20.663); (21.068, 236.282, 356.225); (148.177, 27.894, 20.685); (354.874, 248.439, 329.672); [R_Axis0,R_PadTouch]; 19.156647
130.132947; (148.435, 28.238, 20.663); (20.809, 236.334, 356.291); (148.177, 27.895, 20.685); (354.890, 248.510, 330.228); [R_Axis0,R_PadTouch]; 19.290619
130.134454; (148.435, 28.238, 20.663); (20.809, 236.334, 356.291); (148.177, 27.895, 20.685); (354.890, 248.510, 330.228); [R_Axis0,R_PadTouch]; 19.290619
130.135535; (148.435, 28.238, 20.663); (20.809, 236.334, 356.291); (148.177, 27.895, 20.685); (354.890, 248.510, 330.228); [R_Axis0,R_PadTouch]; 19.290619
130.185270; (148.436, 28.239, 20.663); (20.705, 236.527, 356.567); (148.176, 27.895, 20.686); (355.223, 248.468, 330.018); [R_Axis0,R_PadTouch]; 19.256413
130.186288; (148.436, 28.239, 20.663); (20.705, 236.527, 356.567); (148.176, 27.895, 20.686); (355.223, 248.468, 330.018); [R_Axis0,R_PadTouch]; 19.256413
130.236352; (148.437, 28.239, 20.663); (20.763, 236.656, 356.622); (148.177, 27.896, 20.685); (354.967, 248.145, 330.622); [R_Axis0,R_PadTouch]; 19.277912
130.237354; (148.437, 28.239, 20.663); (20.763, 236.656, 356.622); (148.177, 27.896, 20.685); (354.967, 248.145, 330.622); [R_Axis0,R_PadTouch]; 19.277912
130.286725; (148.437, 28.239, 20.664); (20.781, 237.200, 356.952); (148.178, 27.902, 20.686); (352.620, 247.374, 331.145); [R_Axis0,R_PadTouch]; 19.301704
130.289626; (148.437, 28.239, 20.664); (20.781, 237.200, 356.952); (148.178, 27.902, 20.686); (352.620, 247.374, 331.145); [R_Axis0,R_PadTouch]; 19.301704
130.290131; (148.437, 28.239, 20.664); (20.781, 237.200, 356.952); (148.178, 27.902, 20.686); (352.620, 247.374, 331.145); [R_Axis0,R_PadTouch]; 19.301704
130.339306; (148.436, 28.240, 20.664); (20.564, 237.402, 357.126); (148.180, 27.903, 20.686); (352.338, 246.559, 332.093); [R_PadTouch]; 19.300304
130.340909; (148.436, 28.240, 20.664); (20.564, 237.402, 357.126); (148.180, 27.903, 20.686); (352.338, 246.559, 332.093); [R_PadTouch]; 19.300304
130.392486; (148.435, 28.240, 20.665); (20.176, 237.656, 357.252); (148.178, 27.904, 20.690); (353.068, 247.867, 328.045); []; 19.380955
130.393626; (148.435, 28.240, 20.665); (20.176, 237.656, 357.252); (148.178, 27.904, 20.690); (353.068, 247.867, 328.045); []; 19.380955
130.441763; (148.434, 28.240, 20.665); (20.169, 237.583, 357.205); (148.177, 27.903, 20.693); (352.044, 249.606, 329.155); []; 19.280865
